Id,Label,Role,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
110,110,,4,1,0,1,1,0,1,5,0.321534,0.335168,0,0.016267,0,0.004651,0,25,0,0.040269
109,109,,4,1,0,1,1,0,1,5,0.321534,0.335168,0,0.016267,0,0.004651,0,26,0,0.040269
108,108,,0,0,2,2,0,5,5,4,0.406716,0.431957,0,0,0.057779,0.002486,0,40,1,0
107,107,,1,2,1,3,7,3,10,4,0.308782,0.332569,0.018349,0.026097,0,0.007798,0,11,0.333333,0.083181
106,106,"Spouse of Lino, transports money and documents",0,1,0,1,1,0,1,4,0.405204,0.42737,0,0.073629,0,0.003823,0,3,0,0.125248
105,105,,5,3,0,3,7,0,7,4,0.420849,0.448777,0,0.101711,0,0.007599,0,5,0.833333,0.193894
104,104,,0,0,1,1,0,1,1,5,0.290667,0.302905,0,0,0.008304,0.002486,0,38,0,0
103,103,,0,2,0,2,2,0,2,4,0.40824,0.433486,0.018349,0.074554,0,0.005936,0,6,0,0.1265
102,102,,6,2,2,4,4,3,7,5,0.27665,0.300612,0.000085,0.004427,0.009078,0.012301,0,32,0.666667,0.027096
101,101,,6,1,2,3,1,14,15,5,0.275949,0.296024,0,0.003715,0.006387,0.008634,0,32,1,0.022726
100,100,,0,0,1,1,0,1,1,4,0.405204,0.42737,0,0,0.047405,0.002486,0,37,0,0
99,99,,2,2,1,3,2,1,3,4,0.409774,0.435015,0,0.112027,0.038826,0.005881,0,32,1,0.2227
98,98,,0,1,1,2,1,1,2,4,0.405204,0.42737,0,0.073629,0.047405,0.003823,0,32,0,0.125248
97,97,,0,1,0,1,1,0,1,4,0.405204,0.42737,0,0.073629,0,0.003823,0,29,0,0.125248
96,96,"Transport manager, owner of a legitimate import company (became an informer after the arrest).",5,3,3,6,21,16,37,4,0.411321,0.439602,0.005728,0.089951,0.067561,0.008621,0,32,0.666667,0.175092
95,95,,3,1,0,1,17,0,17,5,0.311429,0.328899,0,0.012813,0,0.003768,0,14,0,0.030054
94,94,,3,1,0,1,10,0,10,5,0.327327,0.341284,0,0.006982,0,0.004084,0,13,0,0.031784
93,93,,3,2,2,4,34,2,36,5,0.334356,0.353517,0,0.019795,0.026156,0.005365,0,32,1,0.061838
92,92,,3,1,0,1,11,0,11,5,0.327327,0.341284,0,0.006982,0,0.004084,0,27,0,0.031784
91,91,,5,1,0,1,3,0,3,5,0.326347,0.344343,0,0.024744,0,0.003366,0,21,0,0.04654
90,90,,2,2,2,4,8,2,10,4,0.409774,0.435015,0,0.112027,0.08623,0.005881,0,32,1,0.2227
89,89,Investor,4,5,7,12,41,15,56,4,0.471861,0.50841,0.040314,0.14071,0.146041,0.017827,0,32,0.291667,0.331756
88,88,Trusted man of Wallace Lee (became an informer after the arrest),0,3,5,8,23,16,39,4,0.416031,0.450306,0.005752,0.127685,0.117411,0.007391,0,32,0.45,0.260257
87,87,Investor.,5,7,16,23,108,184,292,4,0.482301,0.537462,0.119279,0.167335,0.222144,0.016557,0,32,0.095833,0.37837
86,86,Investors and transporters of money,1,5,4,9,66,28,94,4,0.420849,0.457187,0.015657,0.146721,0.108325,0.011621,0,32,0.433333,0.303031
85,85,Takes care of financial affairs (accountant) (Wallace Lee),0,4,5,9,188,74,262,4,0.429134,0.461009,0.000739,0.148967,0.140577,0.008877,0,32,0.7,0.310231
84,84,Moroccan investor,1,2,3,5,9,12,21,4,0.411321,0.438838,0,0.08766,0.077316,0.006665,0,32,0.833333,0.171299
83,83,Investors and transporters of money,1,7,6,13,113,44,157,3,0.437751,0.477064,0.0236,0.172267,0.125967,0.020063,0,32,0.339286,0.377434
82,82,Transport arrangements manager.,5,6,6,12,119,72,191,4,0.443089,0.480887,0.032586,0.160213,0.118671,0.013387,0,32,0.333333,0.330623
